genre,score,parent
Origin,,
Electronic,6.9541800988609515,Origin
Experimental,7.3111328890630976,Origin
Folk/Country,7.201074218749992,Origin
Global,7.3522821576763455,Origin
Jazz,7.328592592592602,Origin
Metal,6.985219164118247,Origin
Pop/R&B,6.844497837578082,Origin
Rap,6.903601532567048,Origin
Rock,6.895635110558139,Origin
