genre,month_year,score
Electronic,1999-01,6.85
Electronic,1999-02,7.825
Electronic,1999-03,7.8
Electronic,1999-04,6.353333333333334
Electronic,1999-05,6.025
Electronic,1999-06,6.997222222222223
Electronic,1999-07,5.975
Electronic,1999-08,7.15
Electronic,1999-09,5.925000000000001
Electronic,1999-10,6.9
Electronic,1999-11,5.533333333333334
Electronic,1999-12,7.1000000000000005
Electronic,2000-01,7.066666666666666
Electronic,2000-02,7.062500000000001
Electronic,2000-03,7.37
Electronic,2000-04,7.083333333333333
Electronic,2000-05,8.286666666666667
Electronic,2000-06,6.625
Electronic,2000-07,7.5375
Electronic,2000-08,7.32
Electronic,2000-09,6.37
Electronic,2000-10,7.472222222222224
Electronic,2000-11,6.75
Electronic,2000-12,7.166666666666667
Electronic,2001-01,5.3
Electronic,2001-02,5.616666666666667
Electronic,2001-03,7.25
Electronic,2001-04,7.639999999999999
Electronic,2001-05,7.361111111111112
Electronic,2001-06,7.9875
Electronic,2001-07,6.1
Electronic,2001-08,7.2
Electronic,2001-09,6.3
Electronic,2001-10,6.935714285714288
Electronic,2001-11,7.009090909090909
Electronic,2001-12,7.159090909090909
Electronic,2002-01,6.3238095238095235
Electronic,2002-02,7.720000000000001
Electronic,2002-03,6.827272727272728
Electronic,2002-04,6.496428571428571
Electronic,2002-05,6.638095238095238
Electronic,2002-06,7.318181818181818
Electronic,2002-07,6.500000000000001
Electronic,2002-08,7.0590909090909095
Electronic,2002-09,6.918181818181819
Electronic,2002-10,7.679166666666666
Electronic,2002-11,6.685714285714285
Electronic,2002-12,7.3625
Electronic,2003-01,6.224358974358974
Electronic,2003-02,7.157598039215686
Electronic,2003-03,6.96875
Electronic,2003-04,6.3208333333333355
Electronic,2003-05,6.674242424242423
Electronic,2003-06,6.792982456140351
Electronic,2003-07,6.122222222222223
Electronic,2003-08,6.872619047619047
Electronic,2003-09,7.200000000000001
Electronic,2003-10,7.385416666666666
Electronic,2003-11,6.804166666666666
Electronic,2003-12,7.691666666666666
Electronic,2004-01,7.005208333333333
Electronic,2004-02,7.326190476190476
Electronic,2004-03,6.815384615384616
Electronic,2004-04,7.532291666666666
Electronic,2004-05,7.082051282051281
Electronic,2004-06,6.873076923076923
Electronic,2004-07,7.420833333333333
Electronic,2004-08,6.816666666666667
Electronic,2004-09,6.808333333333334
Electronic,2004-10,7.223958333333334
Electronic,2004-11,6.923333333333333
Electronic,2004-12,6.734999999999999
Electronic,2005-01,7.964285714285714
Electronic,2005-02,7.169791666666667
Electronic,2005-03,6.376041666666667
Electronic,2005-04,6.6717708333333325
Electronic,2005-05,6.802222222222222
Electronic,2005-06,7.12051282051282
Electronic,2005-07,7.487179487179487
Electronic,2005-08,6.57
Electronic,2005-09,6.767708333333334
Electronic,2005-10,7.2846153846153845
Electronic,2005-11,7.226923076923077
Electronic,2005-12,7.5200000000000005
Electronic,2006-01,6.561538461538461
Electronic,2006-02,6.828571428571428
Electronic,2006-03,6.828571428571427
Electronic,2006-04,6.915151515151515
Electronic,2006-05,7.059375
Electronic,2006-06,6.628888888888889
Electronic,2006-07,6.511111111111113
Electronic,2006-08,7.220833333333332
Electronic,2006-09,7.082142857142856
Electronic,2006-10,7.165384615384615
Electronic,2006-11,6.718181818181819
Electronic,2006-12,6.9071428571428575
Electronic,2007-01,7.374999999999999
Electronic,2007-02,6.955555555555557
Electronic,2007-03,7.194444444444445
Electronic,2007-04,6.282142857142858
Electronic,2007-05,6.591111111111112
Electronic,2007-06,6.766666666666666
Electronic,2007-07,6.286666666666666
Electronic,2007-08,6.9192307692307695
Electronic,2007-09,6.470000000000001
Electronic,2007-10,6.353846153846154
Electronic,2007-11,6.891666666666667
Electronic,2007-12,6.9750000000000005
Electronic,2008-01,6.452083333333333
Electronic,2008-02,6.983333333333333
Electronic,2008-03,7.202380952380953
Electronic,2008-04,6.696153846153845
Electronic,2008-05,7.085000000000001
Electronic,2008-06,6.6921875
Electronic,2008-07,6.296153846153846
Electronic,2008-08,6.1866666666666665
Electronic,2008-09,5.946153846153846
Electronic,2008-10,7.445454545454546
Electronic,2008-11,6.804545454545456
Electronic,2008-12,7.177777777777777
Electronic,2009-01,6.552222222222222
Electronic,2009-02,6.209999999999999
Electronic,2009-03,6.451041666666666
Electronic,2009-04,6.373529411764706
Electronic,2009-05,6.8199999999999985
Electronic,2009-06,6.465555555555555
Electronic,2009-07,6.703846153846154
Electronic,2009-08,6.419230769230769
Electronic,2009-09,6.704545454545454
Electronic,2009-10,6.3566666666666665
Electronic,2009-11,6.879166666666666
Electronic,2009-12,7.175
Electronic,2010-01,6.67
Electronic,2010-02,7.098809523809526
Electronic,2010-03,6.600793650793651
Electronic,2010-04,7.102941176470588
Electronic,2010-05,6.788095238095238
Electronic,2010-06,7.116666666666666
Electronic,2010-07,6.834444444444444
Electronic,2010-08,7.203571428571428
Electronic,2010-09,6.601111111111112
Electronic,2010-10,7.274444444444445
Electronic,2010-11,6.53452380952381
Electronic,2010-12,7.214285714285714
Electronic,2011-01,6.690104166666668
Electronic,2011-02,6.647916666666666
Electronic,2011-03,7.084999999999999
Electronic,2011-04,6.8842592592592595
Electronic,2011-05,7.00897435897436
Electronic,2011-06,6.8578431372549025
Electronic,2011-07,6.867307692307692
Electronic,2011-08,7.216666666666667
Electronic,2011-09,7.070588235294117
Electronic,2011-10,6.767543859649123
Electronic,2011-11,7.025925925925926
Electronic,2011-12,6.716666666666668
Electronic,2012-01,6.894117647058825
Electronic,2012-02,6.682051282051281
Electronic,2012-03,6.627450980392157
Electronic,2012-04,6.934375000000001
Electronic,2012-05,6.9833333333333325
Electronic,2012-06,6.43974358974359
Electronic,2012-07,6.855555555555555
Electronic,2012-08,6.62
Electronic,2012-09,7.037179487179487
Electronic,2012-10,6.769444444444445
Electronic,2012-11,7.116666666666666
Electronic,2012-12,6.8999999999999995
Electronic,2013-01,6.836666666666665
Electronic,2013-02,6.889285714285714
Electronic,2013-03,6.902380952380952
Electronic,2013-04,6.846153846153846
Electronic,2013-05,7.266666666666667
Electronic,2013-06,7.0062500000000005
Electronic,2013-07,6.987878787878787
Electronic,2013-08,7.12948717948718
Electronic,2013-09,6.561538461538461
Electronic,2013-10,7.129411764705882
Electronic,2013-11,6.938888888888889
Electronic,2013-12,7.166666666666667
Electronic,2014-01,6.841666666666666
Electronic,2014-02,7.019444444444445
Electronic,2014-03,6.788888888888888
Electronic,2014-04,7.292857142857143
Electronic,2014-05,7.070512820512819
Electronic,2014-06,7.04375
Electronic,2014-07,6.89090909090909
Electronic,2014-08,6.979166666666667
Electronic,2014-09,6.876666666666668
Electronic,2014-10,6.711538461538461
Electronic,2014-11,6.744871794871795
Electronic,2014-12,6.89375
Electronic,2015-01,7.366666666666666
Electronic,2015-02,6.854166666666668
Electronic,2015-03,7.160714285714286
Electronic,2015-04,6.92
Electronic,2015-05,6.835416666666666
